,0,1,2,3
0,6.1,2.8,4.7,1.2
1,5.7,3.8,1.7,0.3
2,7.7,2.6,6.9,2.3
3,6.0,2.9,4.5,1.5
4,6.8,2.8,4.8,1.4
5,5.4,3.4,1.5,0.4
6,5.6,2.9,3.6,1.3
7,6.9,3.1,5.1,2.3
8,6.2,2.2,,1.5
9,5.8,2.7,3.9,1.2
10,6.5,3.2,,2.0
11,4.8,3.0,1.4,0.1
12,5.5,3.5,1.3,0.2
13,4.9,3.1,1.5,0.1
14,5.1,3.8,1.5,0.3
15,6.3,3.3,4.7,1.6
16,6.5,3.0,5.8,2.2
17,5.6,2.5,,1.1
18,5.7,2.8,4.5,1.3
19,6.4,2.8,,2.2
20,4.7,3.2,1.6,0.2
21,6.1,3.0,4.9,1.8
22,5.0,3.4,1.6,0.4
23,6.4,2.8,5.6,2.1
24,7.9,3.8,6.4,2.0
25,6.7,3.0,5.2,2.3
26,6.7,2.5,,1.8
27,6.8,3.2,5.9,2.3
28,4.8,3.0,1.4,0.3
29,4.8,3.1,,0.2
30,4.6,3.6,,0.2
31,5.7,4.4,1.5,0.4
32,6.7,3.1,,1.4
33,4.8,3.4,1.6,0.2
34,4.4,3.2,1.3,0.2
35,6.3,2.5,5.0,1.9
36,6.4,3.2,4.5,1.5
37,5.2,3.5,,0.2
38,5.0,3.6,1.4,0.2
39,5.2,4.1,1.5,0.1
40,5.8,2.7,5.1,1.9
41,6.0,3.4,4.5,1.6
42,6.7,3.1,4.7,1.5
43,5.4,3.9,1.3,0.4
44,5.4,3.7,1.5,0.2
45,5.5,2.4,3.7,1.0
46,6.3,2.8,5.1,1.5
47,6.4,3.1,5.5,1.8
48,6.6,3.0,4.4,1.4
49,7.2,3.6,6.1,2.5
